contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,ExpiryDate
AAPL240517C00020000,2024-05-02 17:13:12+00:00,20.0,152.4,162.4,162.95,0.0,0.0,,100,5.617190478515624,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00025000,2024-04-17 14:37:45+00:00,25.0,144.95,157.35,157.9,0.0,0.0,2.0,46,4.8593789257812485,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00035000,2024-04-15 14:03:44+00:00,35.0,139.72,147.5,148.0,0.0,0.0,,0,4.3515670605468735,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00045000,2024-05-02 16:53:33+00:00,45.0,127.35,137.35,137.9,0.0,0.0,11.0,11,3.4335951660156248,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00050000,2024-03-04 18:29:21+00:00,50.0,124.44,119.6,120.35,0.0,0.0,1.0,6,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00055000,2024-03-04 14:52:25+00:00,55.0,120.96,114.65,115.4,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00065000,2024-05-03 14:06:57+00:00,65.0,118.8,117.45,118.0,0.0,0.0,1.0,0,2.7343781640625,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00070000,2024-04-12 14:03:21+00:00,70.0,107.92,112.45,113.0,0.0,0.0,5.0,6,2.5488317529296873,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00075000,2024-04-29 13:30:00+00:00,75.0,98.38,107.4,108.0,0.0,0.0,1.0,1,2.345707260742187,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00080000,2024-05-01 14:37:56+00:00,80.0,90.97,102.3,103.0,0.0,0.0,2.0,5,2.1171922070312497,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00085000,2024-05-01 14:37:56+00:00,85.0,86.0,97.4,98.0,0.0,0.0,2.0,148,2.03906740234375,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00090000,2024-04-23 19:41:02+00:00,90.0,77.11,92.5,93.0,0.0,0.0,6.0,10,1.953125234375,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00095000,2024-04-19 19:45:41+00:00,95.0,70.35,87.4,87.95,0.0,0.0,90.0,163,1.7382825585937498,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00100000,2024-05-03 18:03:25+00:00,100.0,85.4,82.7,82.95,0.0,0.0,11.0,56,1.75000125,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00105000,2024-04-30 13:38:19+00:00,105.0,68.45,77.4,78.05,0.0,0.0,3.0,61,1.5439475927734374,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00110000,2024-05-03 16:13:56+00:00,110.0,74.25,72.4,73.0,0.0,0.0,3.0,297,1.40625296875,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00115000,2024-05-07 17:28:39+00:00,115.0,67.66,67.45,68.0,17.500004,34.888363,5.0,14,1.3164096679687498,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00120000,2024-05-03 18:45:00+00:00,120.0,61.75,62.45,63.05,-4.0,-6.08365,2.0,24,1.2265663671875,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00125000,2024-05-02 16:54:11+00:00,125.0,47.45,57.5,58.05,0.0,0.0,4.0,41,1.1367230664062502,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00130000,2024-05-06 16:48:08+00:00,130.0,51.49,52.35,53.15,0.0,0.0,7.0,26,1.01953615234375,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00135000,2024-05-06 14:44:11+00:00,135.0,47.83,47.45,48.05,0.0,0.0,1.0,45,0.92187578125,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00140000,2024-05-07 16:08:50+00:00,140.0,41.87,42.4,43.0,0.86999893,2.1219487,1.0,325,0.799806689453125,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00145000,2024-05-06 19:56:20+00:00,145.0,36.6,37.6,38.25,0.0,0.0,15.0,416,0.8017597949218749,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00150000,2024-05-07 16:33:30+00:00,150.0,31.5,32.5,33.05,0.25,0.8,117.0,979,0.6508823974609376,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00152500,2024-05-03 17:49:07+00:00,152.5,32.45,30.1,30.55,0.0,0.0,1.0,29,0.62305064453125,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00155000,2024-05-07 17:51:28+00:00,155.0,27.35,27.45,28.0,1.3000011,4.990408,3.0,648,0.5410202148437502,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00157500,2024-05-07 17:19:44+00:00,157.5,25.0,25.0,25.55,0.7099991,2.9230096,2.0,296,0.514653291015625,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00160000,2024-05-07 17:51:28+00:00,160.0,22.45,22.8,23.0,0.6000004,2.7459972,36.0,2333,0.5048877636718749,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00162500,2024-05-07 15:12:58+00:00,162.5,20.45,20.2,20.5,1.1100006,5.7394032,4.0,315,0.4804739453125,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00165000,2024-05-07 17:16:42+00:00,165.0,17.55,17.8,18.1,0.8999996,5.405403,30.0,5344,0.45117736328125,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00167500,2024-05-07 17:51:26+00:00,167.5,15.15,15.4,15.6,1.3999996,10.181816,52.0,1878,0.40039662109375,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00170000,2024-05-07 17:50:00+00:00,170.0,12.65,12.8,13.0,0.6899996,5.769227,662.0,21101,0.33228206787109377,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00172500,2024-05-07 18:00:22+00:00,172.5,10.6,10.45,10.65,1.1000004,11.578952,92.0,5242,0.3039620385742187,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00175000,2024-05-07 18:00:26+00:00,175.0,8.17,8.2,8.3,0.8699999,11.917806,1263.0,39432,0.26807372558593745,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00177500,2024-05-07 17:52:31+00:00,177.5,5.6,5.9,6.05,0.3499999,6.666665,967.0,15087,0.23462679443359374,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00180000,2024-05-07 18:02:57+00:00,180.0,4.0,4.0,4.1,0.45000005,12.676058,11334.0,52736,0.21460746337890624,True,REGULAR,USD,Call,2024-05-17
AAPL240517C00182500,2024-05-07 18:03:21+00:00,182.5,2.5,2.46,2.49,0.29999995,13.761466,19112.0,10167,0.1986164123535156,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00185000,2024-05-07 18:03:12+00:00,185.0,1.39,1.38,1.4,0.120000005,9.523809,34704.0,44655,0.19361157958984376,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00187500,2024-05-07 18:02:44+00:00,187.5,0.72,0.7,0.72,0.050000012,7.462688,7766.0,11817,0.19214675048828128,False,REGULAR,USD,Call,2024-05-17
AAPL240517C00190000,2024-05-07 18:02:24+00:00,190.0,0.36,0.35,0.37,-0.01999998,-5.263153,14228.0,43942,0.19727365234375,False,REGULAR,USD,Call,2024-05-17
